year_month,headline_count
2015-01-01,6906
2015-02-01,6437
2015-03-01,6975
2015-04-01,6542
2015-05-01,6634
2015-06-01,6947
2015-07-01,6758
2015-08-01,6086
2015-09-01,6990
2015-10-01,7365
2015-11-01,6241
2015-12-01,6371
2016-01-01,6265
2016-02-01,6448
2016-03-01,6487
2016-04-01,5927
2016-05-01,5921
2016-06-01,5920
2016-07-01,5594
2016-08-01,5224
2016-09-01,5894
2016-10-01,5511
2016-11-01,5331
2016-12-01,4967
2017-01-01,5129
2017-02-01,4935
2017-03-01,5546
2017-04-01,4878
2017-05-01,5384
2017-06-01,5300
2017-07-01,4747
2017-08-01,4854
2017-09-01,5033
2017-10-01,5214
2017-11-01,4834
2017-12-01,4560
2018-01-01,4757
2018-02-01,4573
2018-03-01,5034
2018-04-01,4655
2018-05-01,5127
2018-06-01,4988
2018-07-01,4444
2018-08-01,6379
2018-09-01,4722
2018-10-01,5146
2018-11-01,4829
2018-12-01,4193
2019-01-01,4482
2019-02-01,4122
2019-03-01,4690
2019-04-01,4523
2019-05-01,4736
2019-06-01,4495
2019-07-01,4281
2019-08-01,4108
2019-09-01,4417
2019-10-01,4989
2019-11-01,4420
2019-12-01,3984
2020-01-01,4480
2020-02-01,4240
2020-03-01,4883
2020-04-01,5019
2020-05-01,4346
2020-06-01,4492
2020-07-01,4459
2020-08-01,4438
2020-09-01,4609
2020-10-01,5256
2020-11-01,5114
2020-12-01,4154
2021-01-01,7000
2021-02-01,4258
2021-03-01,4785
2021-04-01,4592
2021-05-01,4265
2021-06-01,4259
2021-07-01,4466
2021-08-01,4223
2021-09-01,4482
2021-10-01,4254
2021-11-01,4005
2021-12-01,3933
2022-01-01,3797
2022-02-01,4059
2022-03-01,4310
2022-04-01,3934
2022-05-01,4179
2022-06-01,4374
2022-07-01,3835
2022-08-01,3983
2022-09-01,4087
2022-10-01,3854
2022-11-01,4742
2022-12-01,3548
2023-01-01,3423
2023-02-01,3260
2023-03-01,5769
2023-04-01,3718
2023-05-01,3881
2023-06-01,3788
2023-07-01,3548
2023-08-01,3668
2023-09-01,3823
2023-10-01,3906
2023-11-01,3734
2023-12-01,3525
2024-01-01,3785
2024-02-01,3791
2024-03-01,4242
2024-04-01,3954
2024-05-01,4267
2024-06-01,3847
2024-07-01,4134
2024-08-01,4047
2024-09-01,4054
2024-10-01,4306
2024-11-01,4602
2024-12-01,3666
2025-01-01,3940
2025-02-01,3502
2025-03-01,3886
2025-04-01,3763
2025-05-01,3714
2025-06-01,3565
2025-07-01,3299
2025-08-01,3137
2025-09-01,3488
2025-10-01,3775
2025-11-01,3297
2025-12-01,3173
